gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
KRT7,0.135219636,0.048618288,0,0,0,0,0.051612822,0.036768456,-0.063858701,0.112652192,-0.381239444,-0.298721029,0.11577383,0.023255215,0.729060829,0.413874914,0.191677496,0.046797817
CALML4,-0.298502291,0.038323008,0.093288402,0.052710786,0.256005436,0.050966925,-0.210080377,0.006183604,0.002138001,0.045583282,0.108397324,-0.000874572,0.101441623,0.881592805,0.954614953,0.220011007,0.02326578,0.984842356
ZNRF3,0.227063641,-0.027907146,0.110455901,0.082067835,0.207390756,-0.071577499,0.003889985,0.014336294,-0.036939358,-0.018371415,0.053154144,-0.075704015,0.944547313,0.606385933,0.133998524,0.409524661,0.13166786,0.023292643
ADAP1,0,0.099169934,0,0.14519456,0,0,0.158340497,0.005535314,0.092467006,-0.002531274,0.241524053,-0.240750405,0.547549262,0.885618445,0.488849256,0.935919607,0.152405166,0.023389734
TMEM245,0.006456475,-0.000881949,0.066641233,0.086335095,0.190257999,0.025106589,-0.019444835,0.001378293,-0.061891329,-0.067461075,0.014854264,-0.026706263,0.642504866,0.937077611,0.023428911,0.042576691,0.548979827,0.222321717
RPL13,0,-0.157481307,-0.098258818,0.069169914,0.129931508,-0.025908139,-0.561366929,-0.068607519,-0.062155715,-0.035182179,-0.059347834,0.003860922,0.023448905,0.098149994,0.293951706,0.536847372,0.330112113,0.945445236
DIMT1,0,-0.210391071,0.177995816,0.083932527,0.087046196,0,-0.140077832,-0.035223312,0.037246563,0.054284291,-0.162207144,0.011116677,0.318470572,0.518392053,0.551100272,0.498613972,0.02348612,0.902039116
ADAM32,0.158012646,0.143277432,0,0.16954915,0,-0.055890571,0.119575312,0.058923663,0.056490336,0.086536908,0.141251601,-0.050276939,0.050269538,0.023487429,0.593165834,0.36034359,0.239674456,0.481207961
RABGAP1,0.043223474,0.019929492,0.105851148,0.103428685,0.206309217,0.036931037,-0.103091607,-0.012544056,0.016735755,0.007975196,0.042486853,-0.019611724,0.023522534,0.398019725,0.499328093,0.755133259,0.119447871,0.168389968
KP05,0.316024724,-0.004802448,0.10765983,0.069874714,0.047052942,0.106006554,0.089975111,-0.029584906,0.008402719,-0.019222889,0.031105312,0.098505588,0.334944184,0.524366674,0.869974814,0.778838294,0.624421335,0.023551846
MYH10,0.083580037,0.303800326,0.097717639,0.105066345,0.202667701,0.02686211,-0.043571689,0.095241731,-0.002804361,0.086739067,0.003402918,0.018207683,0.422708147,0.023576434,0.885043921,0.114529824,0.891457848,0.515131585
POLR2B,0.08267244,0.019108182,0.078682739,0.119248881,0.105357416,0.083618359,-0.1030034,-0.048211073,-0.013401165,0.016192176,-0.064889025,-0.036742655,0.075706962,0.028089554,0.622611743,0.629493511,0.023596855,0.236010607
SPRY4,0,-0.185186336,0,0.11593137,0,0,0.137766269,-0.041200887,0.157691055,0.123824289,0.096106577,-0.053793197,0.211218594,0.420647864,0.659425112,0.023612619,0.282828615,0.887079432
IFT122,0.205814914,0.208016487,0.013197731,0.087336506,0.307206323,-0.018286794,0.067063506,0.107368066,-0.109132316,-0.010383899,0.070446294,-0.016407242,0.376212069,0.023662527,0.040581227,0.868766081,0.285590283,0.593433957
