gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
AKAP12,-0.145426358,-0.03432852,-0.112606031,0.485734058,NA,NA,-0.062777882,0.013678304,-0.044379183,0.024120366,0.287711487,-0.260973044,0.052345471,0.341392581,0.000184563,0.405084706,0.001810686,0.008030149
SLC16A1-AS1,0.002442361,-0.043269827,-0.035519756,-0.016389807,-0.126799933,NA,0.030230866,-0.00689711,-0.013016886,-0.093786759,-0.055246883,-0.02572825,0.539258608,0.744873077,0.332008486,0.000185179,0.17658094,0.78475022
ADAT2,NA,0.189851319,0.084643102,0.089846687,-0.015996657,NA,0.192550398,0.115459891,0.028323305,-0.013994675,-0.027283452,0.041150671,0.024263874,0.000187103,0.168891646,0.559559761,0.529938789,0.604145697
DHX37,0.005868118,0.379025801,-0.06146657,0.063904915,0.182295012,0.298884322,-0.020197753,0.096780493,-0.0271485,-0.02534969,0.030313734,0.047445261,0.720706751,0.000187394,0.120665123,0.324878507,0.509270228,0.27271182
FYTTD1,0.151088085,0.084967745,0.097514645,0.264391755,-0.128371415,0.151310466,0.004807519,-0.022214744,0.039734699,0.023405498,-0.041753736,0.084382956,0.914735568,0.206999059,0.010744179,0.342624094,0.373506564,0.000187473
NSRP1,0.093140057,0.175125257,0.01839062,0.121090332,0.170799474,0.136561731,0.023551221,0.059953567,-0.002756044,-0.032817352,0.018649097,-0.008912364,0.434222432,0.000188508,0.782296385,0.033738527,0.499258052,0.767036426
HIST1H2BD,NA,-0.196733486,0.154559295,NA,-0.083376653,0.238731041,-0.097887693,-0.196510234,0.013765813,0.007853667,0.047410343,0.100449877,0.364941574,0.000188704,0.650580168,0.876251875,0.456867394,0.056635396
PDLIM1,-0.01533675,0.109987009,0.098650042,-0.029317461,-0.055507562,0.052908364,-0.062176462,0.017375265,0.046901723,-0.076381199,-0.042215523,-0.016133799,0.259909972,0.297655428,0.048008381,0.000188931,0.452083148,0.677389411
SRSF6,0.149865569,0.081890004,-0.002862988,0.135937425,0.156638649,0.26245459,0.056485685,0.054889083,0.00789705,0.031685888,0.002442677,-0.00096452,0.169787619,0.000190071,0.558534973,0.012837274,0.945918687,0.96936649
CPD,0.020878166,0.076382996,0.172709732,0.298728421,0.183711379,0.060225219,0.082221943,0.045771665,0.049559672,0.078302679,0.036359231,0.038540171,0.022614324,0.092014861,0.001183849,0.000190158,0.412671595,0.364427036
RPS23,0.240714635,0.092803135,0.210151752,0.205677224,0.052210621,0.203297429,0.111280666,0.068752487,0.055076488,0.022872673,-0.059285793,0.020578918,0.097698289,0.019407304,0.000190359,0.418555865,0.255595848,0.694220173
YAP1,-0.121380043,0.119874704,-0.007480776,0.1260646,NA,0.135831994,-0.015827547,0.039862268,-0.009060643,-0.001729949,-0.193957383,0.015042776,0.59469598,0.000190392,0.494243738,0.873249454,0.306473028,0.4818087
PLEKHA6,0.103596914,-0.134298909,NA,0.199796506,NA,0.291927746,0.045821809,-0.07700332,0.001814659,0.024396036,0.060961626,0.022301754,0.167904527,0.000191238,0.975615459,0.017166667,0.624791968,0.327686877
SLC22A20P,NA,-0.256043664,NA,NA,NA,0.129910276,0.107352226,-0.123988231,0.072936415,0.019479537,-0.126280422,-0.04742975,0.264710044,0.000191521,0.432258325,0.724354261,0.392727342,0.391448582
ZBTB21,-0.167067449,NA,-0.29759684,0.041955471,0.093289138,0.05853401,0.044732537,0.382732759,-0.090141949,-0.067758622,-0.054108728,-0.072916457,0.513732513,0.007859189,0.00019233,0.100177287,0.403494695,0.118815869
APMAP,-0.058786714,0.14178067,0.092108995,0.294515396,NA,0.177577983,0.095384234,0.096573275,0.020359757,0.065651902,0.019630475,-0.00137277,0.170915297,0.000192389,0.363191927,0.023896047,0.827610902,0.975380547
FAM20B,0.220152886,-0.140422874,0.243591191,0.158710742,0.133632571,0.157348318,0.054928061,0.015849064,0.069431764,0.01804508,0.069887603,0.036351431,0.304507845,0.637632823,0.00019426,0.502192312,0.070993792,0.193429739
MTHFD2,0.011138477,-0.002090558,0.143864852,-0.007681289,0.239607478,0.321087641,-0.015481018,0.044701886,0.044846136,-0.022262306,-0.008705131,-0.007524416,0.828033988,0.099735824,0.000194511,0.299887472,0.847044743,0.808923166
CDC14B,-0.2677158,-0.167921391,0.214803313,0.168892963,0.314068362,0.056966162,-0.082873093,-0.032584598,0.060370927,0.030039835,-0.004379881,-0.022986252,0.115934695,0.059817316,0.000194511,0.073670624,0.93112105,0.599736313
FUBP1,0.088698739,0.121914939,0.007471995,0.170519476,0.240459796,0.152878612,0.004125005,0.042401212,-0.001069092,0.015208932,0.084774594,0.00826335,0.894431536,0.000195563,0.895437872,0.141385922,0.00038486,0.644270414
XPR1,-0.043127702,-0.097817887,0.143320053,0.345247253,0.159511443,0.194015841,-0.027259182,-0.067283495,0.037009056,0.074297348,0.00556694,-0.023107031,0.399507352,0.000206711,0.001501161,0.000195798,0.791284046,0.349538764
XRCC4,-0.020633498,0.199822113,0.110721717,0.279853569,0.461048272,0.273511587,0.022167484,0.04913302,0.026151847,0.049672001,0.136151353,-0.007359023,0.659513797,0.035693334,0.116353875,0.007282944,0.000196512,0.821972765
COL17A1,NA,0.041987928,NA,-0.033513338,NA,NA,0.016240766,-0.030454749,0.011609321,-0.045019595,-0.236884984,-0.122578791,0.907742493,0.000196622,0.863662138,0.082356814,0.350827691,0.432604855
NRBP1,0.134275948,-0.206481955,-0.157455289,0.31968239,0.052382547,0.274174988,0.062237216,-0.112568369,-0.045608758,0.032292178,0.036494654,0.068300569,0.21457791,0.000196731,0.041423314,0.279207783,0.479755243,0.013552444
FRMD8,0.393012488,-0.032137862,NA,0.165276737,-0.19535755,0.080267783,0.091152727,-0.120514741,0.033725797,0.008650578,-0.091645835,0.010966896,0.127973336,0.000196733,0.375358039,0.789454847,0.17055563,0.829631774
EEPD1,-0.043254269,0.116598937,0.174448431,0.209122356,NA,-0.106889763,0.174061212,0.052140153,0.046159443,0.030054634,-0.140045467,-0.092513545,0.003640464,0.000196809,0.013050867,0.039814411,0.213188781,0.085863426
SLAIN2,-0.015950764,0.096360382,0.075418568,0.269132706,-0.154157254,0.096204525,-0.012130388,0.021474479,0.031006322,0.057764372,-0.020291966,-0.045958318,0.838079361,0.3391477,0.000199479,0.002625705,0.600250321,0.194308807
KTN1,0.072133441,0.048586204,0.047962862,0.251942525,0.127790672,0.272960691,0.045324881,0.025416576,0.013125131,0.046476525,0.029598975,-0.024265301,0.019311266,0.005088802,0.162885486,0.000200112,0.199004808,0.387404227
AP1G2,-0.019730146,-0.246744618,-0.316373813,-0.031589166,0.071379997,0.179807303,0.12109293,-0.105666082,-0.072408584,-0.080444364,-0.059334679,-0.02231389,0.036698942,0.000201395,0.02184177,0.006612613,0.342056557,0.501421615
ENTPD1-AS1,-0.201377003,0.065892782,0.089853664,0.134535741,0.119721508,0.157686574,-0.000596918,0.103638325,0.033905561,0.00987128,-0.00518054,-0.041629354,0.992147844,0.000201413,0.05285716,0.672001395,0.8983286,0.245195508
SRPK1,0.01687205,0.178084051,0.088899992,0.150892793,0.186981406,0.14278086,0.024855089,0.049915288,0.022410416,0.009721147,0.044184789,-0.036530987,0.482666576,0.000202632,0.005268168,0.383462544,0.02967082,0.073347413
TATDN1,0.167179896,-0.000335255,0.080837723,0.255243025,0.170188495,0.185707761,0.07782855,0.085687194,0.033950024,0.024462975,0.06872478,0.025034916,0.15829314,0.0002073,0.055608266,0.071106426,0.148350774,0.383047642
DYNC1H1,0.053942027,0.092103776,-0.09265889,0.064749222,0.032843227,0.154985009,0.025564416,0.001531199,-0.026810594,-0.014362093,-0.058172407,-0.000486688,0.106778469,0.850868581,0.000207619,0.22241939,0.004646528,0.967189478
EEF1D,-0.000864876,0.117468958,0.151292177,0.125528467,0.172519026,0.12353406,0.083858624,0.056330339,0.035835652,0.027800097,0.032148396,-0.028160097,0.013214402,0.000207975,0.00742219,0.131874598,0.306410127,0.258416646
IER3IP1,NA,0.28364165,-0.012084166,NA,NA,NA,0.071160638,0.143207079,-0.01068072,0.036325774,0.05559936,-0.058744757,0.528940327,0.000207997,0.680420924,0.565479825,0.498796523,0.470126926
PFKM,NA,0.223670748,0.005021093,-0.022200176,NA,0.289395983,-0.079035568,0.126153259,-0.00563644,-0.048664594,-0.04439001,0.032193355,0.424557584,0.000208794,0.793814392,0.097027893,0.620781101,0.64085626
ODF2,0.339048826,0.247575512,0.09769474,0.143868471,0.249874252,0.213689223,0.086772819,0.093805244,0.043687909,0.027363377,0.075325165,-0.002609781,0.115011745,0.000209495,0.014935811,0.285018642,0.042086287,0.935812498
OCIAD2,NA,0.058579288,NA,0.265974497,NA,0.102710004,0.277565494,-0.01266783,0.063235649,0.055618329,0.407199151,-0.025897434,0.000209922,0.552657275,0.26770544,0.037962398,0.201962298,0.639762919
ZNF146,-0.267627972,0.057912017,0.032270266,0.197704972,0.294061025,0.187920224,-0.027730756,0.059852791,0.009979409,0.029841941,0.067149904,-0.009631577,0.592931458,0.000210022,0.417382436,0.081293307,0.039391295,0.741557072
SMG6,0.079498566,-0.118972731,-0.099822247,0.180951586,0.176628073,0.160705391,-0.011582699,-0.055679813,-0.027319966,0.010314526,0.025486166,-0.011772217,0.667616629,0.000210626,0.007880492,0.454421586,0.360297598,0.568030172
ANLN,-0.000419914,0.229793077,0.15202408,0.221532679,0.200929869,0.288149512,0.085597865,0.05869052,0.048803545,0.017724125,-0.013943713,0.021628306,0.021923956,0.000210956,0.000595941,0.234705662,0.713214686,0.423031419
NAP1L1,-0.018464475,0.09714048,0.070780455,0.268370731,0.244597773,0.192739881,0.032700869,0.038711333,0.022120832,0.029898208,0.039732411,-0.01741085,0.147112519,0.000212899,0.005909903,0.007427137,0.054193856,0.370589028
PREP,-0.122451476,0.126544161,0.158546902,0.163894987,0.008277402,0.111645258,-0.050538925,0.045402627,0.050787193,0.033093541,0.004819472,-0.047619184,0.344090416,0.018405075,0.00021296,0.084889705,0.91394104,0.138725609
S100A10,0.047515459,0.003496658,-0.211290168,0.287691927,NA,0.268194662,0.114279682,-0.018153842,-0.077317424,0.066034336,-0.529215139,0.120017634,0.011944048,0.444105326,0.030285023,0.000214289,0.340771596,0.000770583
GLCCI1,-0.01431935,-0.0951673,-0.057503778,0.313829828,0.224742005,0.121723122,-0.205406165,-0.061739568,-0.02018479,0.060863809,0.08522789,0.026891709,0.000215986,0.00420989,0.216376122,0.004178313,0.111956748,0.202114516
RAB21,0.162783892,0.17283517,0.041652896,0.24231732,-0.038079551,0.152859224,0.086632373,0.076817008,0.03017004,0.045648771,-0.048330872,-0.015840766,0.114382331,0.000217799,0.067416858,0.047521521,0.376902076,0.525804038
ANAPC1,0.139358602,0.170898839,0.105004682,0.179163432,0.118991511,0.241797896,0.076977218,0.063895779,0.017648959,0.019736231,0.004092317,0.014946143,0.069018912,0.000218857,0.086963842,0.196076134,0.873170515,0.507751488
MRPS35,-0.031419481,0.110530031,0.019253128,0.158106714,-0.084887654,0.124470635,-0.030237345,0.079129875,0.008461374,0.001214021,-0.000668957,-0.000919091,0.665502818,0.000218859,0.615900667,0.955145321,0.988560068,0.982714486
TGS1,0.029624673,0.190359589,0.02531264,0.1623476,0.07970722,0.131369024,-0.058503921,0.066731467,0.006423342,0.003742879,-0.007682883,-0.036560494,0.273018234,0.000218964,0.604225561,0.868784083,0.836911349,0.211431004
SNX12,NA,-0.185571058,-0.078254426,NA,NA,NA,0.192782393,-0.058548984,-0.026493418,0.149907428,0.018782909,-0.063374644,0.026953243,0.170833703,0.251804458,0.000221216,0.854026588,0.439063705
RBM28,-0.078671957,0.165073919,0.117103562,0.15467504,0.164198822,0.100808191,0.000947443,0.064903918,0.040865984,0.007056389,0.005910297,-0.013958531,0.981312492,0.000221343,0.000465524,0.660928471,0.811944014,0.635556355
RPS9,-0.124073346,0.056853077,0.262886587,0.152211898,0.145430086,0.229836161,-0.104888952,0.02637306,0.057087636,-0.002873405,0.02297991,0.047714459,0.065159101,0.171946703,0.000223527,0.877891363,0.650444029,0.233429761
AP005212.4,0.037673739,0.221248843,NA,0.384254756,NA,NA,-0.085658896,0.10540795,0.037940334,0.116633055,-0.179822101,-0.123300135,0.035599882,0.008121455,0.533202008,0.000224753,0.604705442,0.259019952
AC027288.3,NA,0.260644296,NA,0.25430615,NA,0.177646826,0.156237718,0.087615653,-0.025857943,0.015600954,0.353701772,-0.006325118,0.039730374,0.000225734,0.497991025,0.659022803,0.070802976,0.878211841
SORD,NA,0.130008778,0.118270097,0.031219539,0.219495028,0.290914174,-0.07605369,0.023005517,0.038284055,-0.08573926,0.021560731,0.059591288,0.383118861,0.385904668,0.045249674,0.000226287,0.699558404,0.391618025
CADM2,NA,NA,-0.142306812,NA,0.241764857,NA,-0.282274059,0.112030939,-0.054045049,0.048291699,0.05242815,0.010193682,0.48432274,0.16611455,0.000227711,0.660427406,0.151767974,0.946209363
SH3BP5,NA,NA,NA,NA,0.380852728,0.181792208,0.078840144,0.102112622,0.082268891,-0.040810739,0.2095676,-0.03623002,0.403639342,0.142266956,0.231715875,0.698506179,0.00022932,0.21387148
ANKRD36,0.162468067,0.022260821,-0.013354725,0.16714621,0.085384763,0.231715206,0.102846034,0.020940718,0.008514756,0.016668046,-0.018962894,-0.037071976,0.0002296,0.168778283,0.385398562,0.269569338,0.469123882,0.051069143
MFSD6,-0.10103773,-0.05532663,0.049747613,0.397350059,0.149729741,NA,0.010022886,-0.035193539,-0.005753598,0.090021137,0.028763899,-0.078910096,0.901297994,0.342987731,0.835625233,0.000230943,0.590722068,0.293563214
DDR1,NA,-0.133385057,NA,0.108747056,NA,0.011486304,-0.282375019,-0.124679612,0.073477419,-0.018530449,-0.031935826,-0.078801291,0.155605055,0.000231394,0.172450537,0.575136286,0.741503838,0.0555943
