gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
HIF1A;0,667693276;-0,185595378;0,037832562;-0,081659574;0,009774091;-0,124415378;0,204552082;-0,075085566;-0,005972432;-0,005206932;0,0315916;-0,0595917;1,74E-135;0,000966828;0,878339471;0,874504217;0,593799922;0,013512467
PBX1;0,749641515;1,031190506;0,006257232;0,038991112;0,133336905;0,405158459;0,23204303;0,337791933;0,043500986;0,119238863;0,053611232;0,159547391;4,60E-134;3,99E-34;0,085123856;0,0004708;0,15678923;8,40E-13
ABCC1;0,859810032;0,023967151;0,064469909;-0,131283443;0,075007226;-0,158707597;0,244850466;0,039956208;-0,001215708;-0,024109592;-0,003502795;-0,103679746;4,74E-134;0,127485398;0,962630818;0,342119154;0,948601344;0,000119719
EVA1C;1,715284633;0,136162991;0,372505746;-0,204498555;NA;NA;0,407523805;0,107341727;0,136804959;-0,109559214;0,191119616;0,098821873;5,50E-132;0,119766551;0,047989842;0,019694308;0,420966354;0,295724647
MYOF;0,81471863;0,197477398;0,0021267;-0,300080368;NA;0,684448361;0,213799766;0,089047883;0,067445506;-0,162790366;0,06797815;0,247397973;1,24E-131;4,95E-07;0,376984804;4,96E-10;0,569238491;5,95E-44
SEMA3C;-0,738519817;-0,966740904;0,358270281;-0,112249349;NA;-0,23278396;-0,312871823;-0,370098139;0,176991019;-0,052040718;0,057995571;-0,111304964;2,58E-131;1,64E-48;0,000616412;0,005632127;0,596584189;2,33E-11
EYA4;0,811255288;0,332378158;0,029768466;NA;NA;NA;0,255236751;0,127415888;0,023551549;0,120313895;0,277688458;0,147421129;2,32E-129;0,00235737;0,371155389;0,367497432;0,17740242;0,289624484
KIRREL3;-0,831226391;NA;NA;NA;NA;NA;-0,323543307;0,308979796;-0,073188279;-0,018023986;-0,04357122;0,235769872;4,84E-122;0,019131867;0,563917848;0,838502065;0,838219713;0,053725418
PMEPA1;-0,618207435;-1,547924399;-0,01286637;-0,711678225;NA;-0,901315202;-0,352523691;-0,806956043;-0,06949883;-0,57318295;-0,001834824;-0,756749395;2,47E-110;7,00E-71;0,298820865;4,65E-91;0,9929611;9,11E-122
STAT1;1,292150978;0,33335327;-0,058175825;-0,213012126;0,024827235;0,183352966;0,312002362;0,081181522;0,014259055;-0,06122956;0,014436758;0,034117053;1,89E-121;0,042292621;0,784830841;0,024225935;0,81145389;0,353602131
KCNMA1;-0,695744134;-0,159173731;NA;NA;NA;NA;-0,272426684;-0,006939236;0,042011201;0,043133593;0,22663375;0,103928904;1,12E-120;0,918886019;0,636866821;0,632671497;0,128778507;0,396439611
CYP1B1;3,512563387;1,076410601;NA;0,079615234;NA;0,018076837;0,582284086;0,402909829;-0,152023155;0,117502202;-0,077717826;-0,018524365;2,66E-119;6,77E-27;0,530244305;0,040477107;0,855713426;0,534578213
SPOCK1;-0,904428297;NA;-0,240799948;NA;NA;NA;-0,537993942;-0,688274114;-0,036663578;0,088391479;0,301090536;-0,957208997;3,27E-116;7,74E-07;0,622200127;0,498435305;0,309879495;0,000986031
FOXP1;-0,580617391;0,047963257;0,055255928;0,007322773;0,118425044;0,312424551;-0,236144917;0,010535478;0,014251499;0,014802073;0,043605754;0,107898058;4,26E-112;0,708240659;0,414044693;0,432504185;0,174191842;6,83E-14
SLC7A11;0,953163003;0,137981096;0,101691546;-0,089169971;0,291987755;-0,364994053;0,258382455;0,118815964;0,102687348;-0,045664817;0,092466752;-0,114360286;1,04E-111;2,05E-05;0,019805219;0,102459754;0,281564265;0,031180751
LRMDA;0,613127903;0,019602008;-0,12059134;0,189038538;NA;-0,118260766;0,183216642;0,062799852;-0,022903078;0,11166424;-0,428823155;-0,013849733;6,34E-111;0,070732079;0,754327821;0,045112142;0,008108428;0,732847815
TGFBR2;-1,016583501;-1,881364607;-1,635451169;-1,410785001;NA;-1,209987104;-0,618426511;-1,28934775;-1,165774308;-1,004450764;0,624409637;-0,842433109;4,45E-11;3,95E-25;5,02E-26;4,19E-108;0,16029294;5,05E-09
MALAT1;0,37265214;-0,007296036;0,040249389;-0,021574095;-0,003228714;-0,002786612;0,123136833;0,007442493;0,077182161;0,018731918;0,004230106;-0,001682964;2,25E-104;0,617189016;6,58E-10;0,066725673;0,812785258;0,899150376
TANC2;-0,487895353;-0,394035045;-0,064327765;-0,061913761;0,179893259;-0,584138014;-0,181450893;-0,1763202;-0,013719489;-0,024833332;-0,005159812;-0,337607155;3,85E-75;3,00E-11;0,532523404;0,522476705;0,938845735;8,57E-100
RASGRF2;-0,660255862;NA;NA;-0,18815174;NA;NA;-0,329045417;0,184198693;0,040928019;-0,071221155;-0,129784987;0,022625254;2,71E-99;0,155836559;0,71658974;0,003259492;0,493768848;0,868565268
PTGR1;1,121102535;0,283354025;-0,022776277;-0,015842539;NA;0,258503681;0,288642655;0,084018664;0,047192754;0,008665914;0,110791305;0,121165408;2,40E-96;0,136550254;0,464544847;0,85656385;0,775320795;0,021541627
PACS1;-0,577496173;-0,437385795;0,005786183;-0,0726356;0,072266865;-0,281993886;-0,259777154;-0,188018762;-0,050860421;-0,007205244;0,048627303;-0,190755234;2,59E-96;4,43E-13;0,150571768;0,746523986;0,210598006;4,72E-27
TNS3;0,674855858;0,041313581;0,012508481;0,03478243;NA;-0,227168061;0,181199496;0,031118609;-0,006031525;0,070096166;-0,04869665;-0,146300918;1,16E-94;0,293749245;0,809379329;0,001964236;0,719276884;1,65E-09
NCOA7;1,303735281;0,290833276;0,04997607;0,007137974;-0,153268562;-0,132554535;0,322632346;0,097918771;-0,072112154;0,04392063;-0,027668207;-0,045134004;4,54E-94;0,041652918;0,140573917;0,142571723;0,708597254;0,335308487
SLC4A7;-0,58512565;-0,451667581;0,016625406;-0,044958826;0,363104962;-0,435827534;-0,249930484;-0,227385808;0,007940519;-0,002318992;0,126536612;-0,225332398;5,96E-94;1,96E-10;0,755802917;0,93369279;0,041789812;3,54E-18
AHR;1,578051412;0,486469323;NA;0,01531989;NA;0,527024901;0,392377009;0,211884772;-0,115266195;0,045348745;0,090830346;0,233156607;3,08E-92;7,96E-12;0,271779985;0,122880711;0,429295396;5,70E-12
NRP1;0,590595359;0,106552475;-0,187316871;-0,247229157;NA;-0,331062478;0,196796726;0,060561499;-0,061936279;-0,120645708;-0,389918618;-0,046662574;4,22E-92;0,041695027;0,15243276;0,001638963;0,151262196;0,178440446
PPFIBP2;3,496283808;NA;0,097893309;0,240722877;NA;0,630145738;0,613733542;-0,030272083;0,052259924;0,147437524;0,05112713;0,311830124;5,86E-91;0,895684082;0,381972038;0,000112999;0,699521182;1,64E-06
FBN2;0,858778297;NA;0,077516285;NA;NA;NA;0,227365391;0,072830456;0,038747502;0,008284332;0,002234898;-0,067537005;1,68E-90;0,636326301;0,062290389;0,94770964;0,993335472;0,76450663
