gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
TAP1;-1,325977621;-1,558502455;-1,529363438;-1,573280288;-1,895817215;-1,65835461;-0,787331273;-1,214885668;-0,788613042;-0,789089804;-1,467449412;-0,983653716;1,91E-37;2,11E-47;3,80E-18;1,57E-124;2,26E-22;1,56E-71
IDO1;-1,8155312;-1,676514029;-2,038331011;NA;NA;NA;-1,158310127;-1,239486176;-0,975457973;-0,486635338;-0,321990501;0,086924595;4,52E-75;4,55E-124;1,37E-26;2,81E-06;0,302237633;0,612223415
SP100;-0,650864102;-0,876444383;-1,704847397;-0,934318847;-0,576806117;-0,941483139;-0,309708442;-0,417930602;-0,63148189;-0,337340587;-0,288983142;-0,342021408;2,82E-38;5,87E-69;6,85E-14;1,63E-121;1,75E-12;7,78E-27
SAMHD1;-0,934773998;-1,302830441;-0,91396114;-1,326813258;-0,332664308;-1,195133487;-0,495917427;-0,870122375;-0,283994826;-0,503323463;-0,255739117;-0,485722156;7,58E-25;1,44E-65;8,80E-19;4,63E-121;0,000998296;2,50E-22
GBP5;NA;-1,950055701;-1,584579415;-1,533516751;NA;NA;-1,031967368;-1,567491488;-0,926752579;-0,781452737;-0,752901469;-0,320078234;1,38E-06;6,13E-118;1,06E-10;4,45E-29;0,000153545;0,126917778
XRN1;-0,902106665;-1,248924305;-0,721988524;-0,820718839;-0,444258506;-0,354089129;-0,419197439;-0,631435177;-0,239502291;-0,269248232;-0,226672678;-0,100098212;1,71E-48;6,33E-117;6,10E-20;1,21E-110;7,69E-13;3,42E-08
CFH;-1,167904549;-1,348211844;-1,458709248;-1,35917708;-0,028829958;NA;-0,602231329;-0,752054404;-0,641700755;-0,598151441;-0,02258743;0,217289521;1,49E-83;1,65E-99;0,000382324;5,10E-112;0,473933166;0,071735795
PLCH1;-0,864360614;NA;-0,272872936;-1,018164517;NA;-0,742981634;-0,484823456;-0,107750924;-0,083780766;-0,356661207;-0,450279792;-0,26006583;3,59E-31;0,560337772;0,000678575;4,09E-109;0,01376858;6,88E-19
CD74;-1,70901818;NA;NA;-1,666611091;NA;-1,697721354;-1,09141882;-1,075903176;-842,0240217;-0,88291151;-0,220200762;-0,870368841;9,32E-27;5,08E-05;0,996149903;1,06E-108;0,63842275;8,55E-21
OAS3;-0,65816186;-0,99909117;-1,389030684;-1,029639995;NA;-1,042477859;-0,33034729;-0,449855817;-0,460298558;-0,403354942;-0,319256956;-0,454165254;1,08E-26;1,82E-28;3,09E-05;7,12E-106;0,046327494;4,20E-23
CD2AP;-0,597377766;-0,46312786;-0,263598998;-0,618084164;-0,001764511;-0,126524906;-0,265547915;-0,18010748;-0,050041107;-0,178237607;0,004787153;-0,04124093;6,55E-20;3,94E-13;0,059864502;2,31E-104;0,836842533;0,011496962
FOXP1;-0,866633119;-0,23082491;-0,485419965;-0,069819076;-0,134794812;-0,030706109;-0,414481578;-0,085682867;-0,130158847;-0,017840038;-0,060206409;-0,025077909;3,80E-104;0,000434936;2,92E-15;0,041425294;0,005601549;0,013337884
AC090502.1;0,149148587;NA;-0,13067978;2,105470342;-0,001690475;0,015642446;0,039818506;0,103607005;-0,021382013;0,436480558;-0,004311778;-0,007095479;0,293558938;0,121460763;0,664549823;5,00E-95;0,866161325;0,784650133
DTX3L;-0,817656424;-1,281804288;-1,516151688;-0,95950088;-2,013894487;-1,185780955;-0,347547555;-0,571644061;-0,762888744;-0,344037127;-1,151349212;-0,535968155;1,85E-13;1,02E-30;6,58E-16;2,13E-93;7,22E-10;2,15E-26
CXCL9;NA;-1,811152666;NA;-1,622088516;NA;NA;-0,067223263;-1,199221655;-0,45118257;-0,705782853;0,371261439;-0,338995898;0,818393129;1,08E-92;0,392702426;4,33E-15;0,453915578;0,224653179
ROR1;0,595719309;0,766387805;NA;1,063127884;NA;NA;0,261660027;0,302498897;0,206180723;0,234073979;0,454430929;-0,071923438;5,91E-25;4,05E-09;0,039173728;1,08E-91;0,000742848;0,384694727
VPS13C;-0,588235314;-0,41231595;-0,465063872;-0,553265057;-0,31228102;-0,221944657;-0,210330579;-0,183477991;-0,12960903;-0,173236558;-0,156391808;-0,070757157;3,98E-34;4,28E-20;1,14E-14;5,76E-86;3,43E-11;8,39E-06
APOL1;-1,622088422;-1,545084173;-1,564191862;-1,193647783;-1,246576673;NA;-0,892846547;-1,113840511;-0,883921947;-0,479630625;-0,794053151;-0,604912605;2,54E-33;1,36E-40;4,87E-18;2,01E-84;1,06E-12;9,49E-06
PARP8;-0,940715677;-0,699729299;-0,785460492;-0,829938676;NA;-0,561346689;-0,562245211;-0,36948046;-0,264193586;-0,263736666;-0,369276014;-0,155117269;1,88E-26;4,87E-25;8,25E-07;1,16E-83;0,245807275;0,001542079
ICAM1;-1,708123862;-1,755846781;NA;-1,55742043;-1,163521513;-1,22069093;-1,06217815;-1,244210148;-0,976489144;-0,68762901;-0,474461944;-0,677924084;1,44E-09;1,15E-38;0,00289617;2,43E-83;2,89E-09;1,26E-08
STAT3;-0,162125196;-0,762211714;-0,645845205;-0,9086361;-0,320038249;-0,471036867;-0,05654515;-0,342395843;-0,22444684;-0,288594625;-0,129624774;-0,160235942;0,007817934;1,19E-21;7,09E-11;5,06E-83;0,000157818;8,32E-10
NEAT1;-0,265341733;-0,526634617;-0,303149592;-0,530625304;0,044645001;-0,140854357;-0,050096503;-0,202726987;-0,104835425;-0,150758211;-0,0233153;-0,051599091;0,001043964;9,13E-39;1,89E-09;5,52E-83;0,262828554;4,34E-05
ZNFX1;-0,701702191;-0,778756955;-0,721042016;-0,741810273;-0,422071813;-0,620830521;-0,302398319;-0,395862821;-0,213670726;-0,233701892;-0,131652359;-0,200416771;2,23E-18;1,13E-35;5,70E-06;4,25E-82;0,002361177;4,55E-17
HLA-B;-1,510648594;-1,363499685;-1,405810478;-1,609139491;NA;-1,419292902;-0,737369742;-0,792348687;-0,691647559;-0,774645792;-0,110010247;-0,606795187;2,18E-16;8,53E-35;9,37E-24;1,09E-81;0,732459814;9,16E-68
KLF12;0,453013257;0,445856682;0,420022379;1,528508893;NA;-0,033580519;0,141637278;0,199889275;0,167975119;0,320213288;-0,14954999;0,003419107;0,000784894;1,04E-07;5,81E-07;2,64E-81;0,567240282;0,902238735
SMCHD1;-0,423909097;-0,50738938;-0,306459388;-0,446665669;0,023354675;-0,256720563;-0,136962018;-0,224381055;-0,078679291;-0,129305184;-0,004302044;-0,142208336;8,71E-10;1,54E-25;2,23E-05;5,24E-80;0,801935033;5,22E-19
ERAP2;-0,936650043;-0,974216489;-1,341875086;-0,878829597;-1,54556577;-1,671027519;-0,436895987;-0,468721247;-0,547415002;-0,319937609;-1,066904194;-0,922428561;3,71E-14;4,72E-29;7,76E-07;1,16E-79;2,92E-13;1,31E-18
TSHZ2;NA;-1,410779241;NA;-0,997647148;NA;0,126352617;0,095387335;-0,6288847;0,169094828;-0,35855304;-0,136250144;0,001604979;0,516453914;3,00E-79;0,27393405;2,58E-67;0,260893317;0,977581555
ARHGAP6;NA;NA;-1,003671353;NA;0,148847212;NA;0,199646246;-0,063504074;-0,350733115;0,142060764;0,055230121;0,067640497;0,070038603;0,620374528;3,06E-78;0,001872699;0,003261977;0,456921873
SEMA3C;0,115061549;-0,024074827;0,651989636;0,805401602;NA;0,09533094;0,079887673;0,012676682;0,170796759;0,190322818;-0,014196973;0,0403029;3,41E-05;0,585058401;0,005285344;7,19E-78;0,88579822;0,003110664
MYCBP2;-0,394592252;-0,300200714;-0,565012765;-0,461247844;-0,18028321;-0,23218438;-0,153510817;-0,124624216;-0,139019615;-0,134955678;-0,096537282;-0,085125318;2,40E-14;1,91E-16;9,79E-14;3,03E-77;0,000174083;4,14E-06
CFTR;NA;NA;NA;0,968440143;NA;NA;-0,043871732;0,010903623;-0,158911945;0,231039519;0,028019849;-0,206013335;0,83444844;0,96816354;0,589597089;4,22E-77;0,932529327;0,301716324
ATXN1;0,032494847;0,093019091;-0,104211637;0,610963609;NA;0,195988807;0,089809168;0,051938782;0,004401583;0,141799813;0,090490283;0,014100251;0,002480416;0,033086015;0,914705866;5,75E-74;0,373605737;0,304279492
MBNL2;0,556459107;0,228548705;-0,325708744;0,666630802;0,139117429;0,06014272;0,198349562;0,097702128;-0,108383215;0,17167869;0,057999792;0,041277263;2,54E-11;0,000137488;0,009566155;1,42E-73;0,055923413;0,085539271
LINC02100;-1,170064435;-1,31185149;-0,711365349;-1,089583674;-0,359467082;-1,518298305;-0,830818495;-0,795824568;-0,675790742;-0,407299599;-0,159009439;-0,621450318;5,95E-28;3,21E-34;7,69E-05;4,19E-73;0,00783875;2,99E-34
APOL2;-1,17654019;-1,462561864;-1,6894312;-1,106808008;-0,859719844;-1,70130395;-0,685214159;-0,972727807;-0,770589247;-0,464663798;-0,493639142;-0,789514086;2,83E-59;1,84E-31;3,18E-18;3,01E-71;1,29E-07;2,95E-36
FRY;NA;NA;-0,026376986;1,04435759;NA;0,324141556;0,209418601;0,150253198;-0,02313425;0,229127539;0,059805346;0,143895199;0,07148971;0,151245676;0,65050439;4,34E-71;0,740650871;0,000684851
NUB1;-0,887605101;-0,850228383;-0,812129187;-0,773481281;-0,59936203;-0,664733847;-0,437618244;-0,475962431;-0,266839166;-0,263584519;-0,316649206;-0,240401959;7,88E-30;1,54E-41;3,21E-07;8,61E-71;4,20E-10;2,43E-12
IFNGR1;-1,749837312;-1,610428868;NA;-1,793669374;NA;-1,306238604;-1,156736964;-1,097802102;-0,55529781;-1,254826083;-1,945301744;-0,930329376;2,10E-13;2,92E-11;0,054310063;6,36E-69;3,85E-06;2,36E-06
ANO1;NA;0,344106374;NA;1,27660196;NA;NA;0,120478506;0,159425152;0,144941668;0,283453441;0,20642233;0,077889779;0,465555567;2,16E-19;0,477213565;2,53E-68;0,352589491;0,57757015
ITGB5;0,273361935;0,188008094;-0,049656927;0,842424282;0,574041076;-0,026451603;0,092930631;0,103989094;0,009306882;0,200881923;0,226094089;0,019762868;0,000220993;0,005114887;0,830641964;3,85E-68;7,39E-05;0,532121111
DDX60;-0,717463942;-0,884738714;-1,446944796;-1,253557743;NA;-1,103524932;-0,362654688;-0,350608604;-0,577898793;-0,500893271;-0,163471239;-0,686581078;1,38E-31;1,04E-47;1,01E-09;5,30E-67;0,242647743;2,47E-26
FRMD5;-0,176877155;-0,148419827;-0,095013487;-0,616870666;NA;-0,099883431;-0,03586988;-0,041366781;-7,61E-05;-0,175091221;-0,127519181;-0,036912196;0,084305465;0,045662919;0,997817561;6,29E-67;0,309398127;0,081619994
PHLDB1;0,664224801;0,667024714;NA;1,101868968;-0,047883453;-0,01674274;0,293948041;0,215451356;-0,096556087;0,261929119;0,022890037;-0,010262117;5,44E-07;3,20E-05;0,326924015;9,36E-67;0,622756311;0,844889095
ST3GAL1;0,425873285;-0,816302232;0,471969424;0,693110062;-0,081020714;0,297500002;0,12282433;-0,281183274;0,151915557;0,168077478;-0,093811913;0,05724344;0,032685582;1,33E-20;8,72E-05;3,95E-66;0,142611077;0,008068259
HLA-C;-1,07036074;-0,871779712;-1,211775417;-1,355930884;NA;-1,223857102;-0,400950576;-0,573234079;-0,438291598;-0,493409209;-0,856560764;-0,664502611;1,82E-05;1,06E-10;6,69E-07;1,57E-65;0,156745787;1,85E-27
CASP8;-0,525740965;-0,867101202;-0,793616779;-0,804256561;-0,309363466;-0,376941808;-0,310050013;-0,496445342;-0,348552076;-0,239552764;-0,156673323;-0,109488585;4,65E-14;1,07E-28;1,96E-11;4,91E-65;0,00268571;0,001465538
HSD17B12;0,288013756;0,061830023;-0,924109563;0,044990362;-0,118985187;-0,125766973;0,115261451;0,041796168;-0,331638004;0,017462721;-0,076719389;-0,074867059;1,75E-07;0,03426533;5,52E-65;0,038213637;0,044147057;0,002681814
