gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
FAM110B,0,0,0.184263241,0,0,-1.48402444,-0.150696127,0.182861373,0.005589837,-0.059771095,0.087926577,-0.427977342,0.155899863,0.650484885,0.957070021,0.715328664,0.548459551,1.27E-63
TNIP1,-1.986129573,-0.187178786,-0.543151098,-1.060601794,-1.165277889,-1.367390362,-0.77852299,-0.217296363,-0.288683453,-0.423779181,-0.559819674,-0.364264007,5.63E-53,0.003923619,0.117709557,3.85E-63,8.93E-08,2.18E-38
NFKBIA,-1.820279744,0.322689478,-1.766423262,-1.333977021,-1.286161459,-1.75695302,-0.636207735,0.009509544,-0.899991237,-0.504487141,-0.984264888,-0.498435319,5.62E-17,0.930477522,0.002911352,7.10E-16,1.06E-07,4.35E-63
CFTR,0,0,0,1.308275483,0,0,0.318897763,-336.3353482,-0.647204421,0.38184147,-0.354096046,-0.193774204,0.050303157,0.996654706,0.56510837,9.58E-63,0.569771395,0.254527187
MBNL2,-0.167944501,0.111708962,-0.218468739,0.044966553,-0.301305504,-1.510064332,-0.032501315,-0.016131853,-0.003930941,0.01764664,-0.145363419,-0.392982375,0.391845951,0.848957471,0.968113413,0.191914402,0.01354509,3.94E-62
BIRC3,-1.421407181,-0.404200411,0,-1.612622699,-2.945546014,-2.708307962,-0.5553844,-0.214978899,-1.890833466,-0.777391305,-2.14217546,-0.816978959,4.59E-26,0.248023595,0.31709959,5.11E-62,3.26E-13,1.21E-21
CA12,-0.130032275,1.706395606,0,0.661393922,0,1.351202556,-0.020902921,0.444202572,-0.936135687,0.191964882,0.028728837,0.254079204,0.674992812,0.004667161,0.416630277,8.50E-18,0.918239426,2.02E-61
HDAC9,-1.437605394,-0.031121058,-0.023612305,-1.330449209,-0.638381486,-0.421525927,-0.430869793,-0.087784256,-0.091063852,-0.675242326,-0.102228446,-0.080529599,1.61E-10,0.163989224,0.041994341,2.54E-60,0.089362169,0.00026614
LYN,-0.542261981,-0.342206318,0.123362661,0,0.077863212,-1.327723685,-0.139226974,-0.270133113,0.073253954,0.020535756,0.059070546,-0.359381027,0.000283851,0.00541916,0.409192851,0.716270575,0.144661598,7.37E-60
HS6ST2,0,0,0.12422756,0,0,-1.973157247,0.135623387,0.206430945,-0.006194026,-0.020732174,-0.197708849,-0.508088348,0.355819212,0.424177521,0.905524515,0.829361251,0.531860616,9.28E-60
PHLDA1,0.059735247,0.090898094,0,-0.709190579,0,-1.434010706,0.047544568,-0.108773871,-0.253857078,-0.203153121,-0.039468204,-0.34401908,0.093761061,0.079992351,0.487871254,9.90E-14,0.778434941,5.81E-59
MMP7,0,0,0,-1.076076273,0,0,-0.041706704,-0.561786003,0.88601377,-0.465718533,-3021.564446,-0.012470932,0.712211864,0.391414946,0.082276728,1.09E-58,0.996365188,0.961311937
SAMD4A,-0.975058787,-0.087988085,-0.17321964,-0.349809759,0.059737471,-1.141176545,-0.30209373,-0.090146758,-0.122364079,-0.09934007,-0.000718234,-0.366131241,2.11E-31,0.19351836,0.064780209,3.44E-06,0.989734341,1.40E-58
